Distance (cm),Motor Diameter (cm),Angle (Degrees),Value
40,4,40,387
40,4,40,371
40,4,40,385
40,6.5,40,200
40,6.5,40,202
40,6.5,40,189.5
40,3.5,40,570
40,3.5,40,530
40,3.5,40,590
40,3.5,20,718
40,3.5,20,682
40,3.5,20,685
40,4,20,997
40,4,20,1020
40,4,20,1006
40,6.5,20,477
40,6.5,20,462
40,6.5,20,462
40,6.5,10,1037
40,6.5,10,1009
40,6.5,10,889
40,4,10,2120
40,4,10,2090
40,4,10,2040
40,3.5,10,870
40,3.5,10,849
40,3.5,10,851
